e1_6s_fill,e1_6s_holl,e1_nopup_fill,e1_nopup_holl,e1_nox_fill,e1_nox_holl,e1_noy_fill,e1_noy_holl,e1_notime_fill,e1_notime_holl,e1_onlypup_fill,e1_onlypup_holl,e1_onlyx_fill,e1_onlyx_holl,e1_onlyy_fill,e1_onlyy_holl,e1_6s_raw,e1_nopup_raw,e1_nox_raw,e1_noy_raw,e1_onlypup_raw,e1_onlyx_raw,e1_onlyy_raw,e9_6s_fill,e9_6s_holl,e9_nopup_fill,e9_nopup_holl,e9_nox_fill,e9_nox_holl,e9_noy_fill,e9_noy_holl,e9_notime_fill,e9_notime_holl,e9_onlypup_fill,e9_onlypup_holl,e9_onlyx_fill,e9_onlyx_holl,e9_onlyy_fill,e9_onlyy_holl,e9_6s_raw,e9_nopup_raw,e9_nox_raw,e9_noy_raw,e9_onlypup_raw,e9_onlyx_raw,e9_onlyy_raw
0.438505747,0.427997705,0.444444444,0.47977208,0.441595441,0.421686747,0.431440046,0.430292599,0.444061962,0.430866322,0.333333333,0.333907057,0.425071225,0.415384615,0.413675214,0.438176638,0.535353535,0.532163743,0.476342371,0.499202552,0.417331207,0.477405635,0.468899522,0.460711331,0.484698098,0.466501241,0.475599669,0.456575683,0.387096774,0.401157982,0.388751034,0.446356856,0.484222605,0.334160463,0.328370554,0.396195203,0.405293631,0.388751034,0.425144748,0.580277099,0.55012225,0.501222494,0.506927465,0.427057865,0.511002445,0.484922576
0.414942529,0.40390132,0.469515669,0.438746439,0.443304844,0.426850258,0.405048767,0.417096959,0.441193345,0.436603557,0.333333333,0.333333333,0.413105413,0.433048433,0.41025641,0.416524217,0.51887294,0.538011696,0.469962786,0.498139287,0.426900585,0.474747475,0.455077087,0.444995864,0.435897436,0.449958644,0.434243176,0.334987593,0.454921423,0.4127378,0.41025641,0.469305795,0.461273666,0.35483871,0.333333333,0.358974359,0.397849462,0.421836229,0.400330852,0.571312144,0.564792176,0.481662592,0.520782396,0.446617767,0.4800326,0.481662592
0.427586207,0.465863454,0.456980057,0.434188034,0.456410256,0.440045898,0.391853127,0.425129088,0.443488239,0.458978772,0.333333333,0.33448078,0.429059829,0.418233618,0.394871795,0.441025641,0.529505582,0.548112706,0.45348219,0.505582137,0.418926103,0.491759702,0.454013822,0.455748552,0.406947891,0.462365591,0.450785773,0.464019851,0.424317618,0.387096775,0.417700579,0.472174412,0.43545611,0.333333333,0.334160463,0.334987593,0.40777502,0.405293631,0.415219189,0.489812551,0.552567237,0.475142624,0.49796251,0.429502853,0.496332518,0.493072535
0.407471264,0.440619621,0.435327635,0.445014245,0.441595442,0.426276535,0.411359725,0.439472175,0.459552496,0.448078027,0.333333333,0.333333333,0.429629629,0.3994302,0.381766382,0.405128205,0.532163742,0.547049442,0.46092504,0.516746412,0.43062201,0.480063796,0.441786284,0.442514475,0.453267163,0.476426799,0.462365591,0.436724566,0.449958644,0.333333333,0.397849462,0.457831325,0.437177281,0.336641853,0.332506203,0.422663358,0.418527709,0.430107527,0.430107527,0.538712306,0.563162184,0.480847596,0.508557457,0.422982885,0.47595762,0.467807661
0.414367816,0.419391853,0.431339031,0.452421652,0.458689459,0.414802065,0.421686747,0.411933448,0.426276535,0.460699943,0.333333333,0.333333333,0.413675214,0.409116809,0.431908832,0.41025641,0.542796385,0.538543328,0.47368421,0.510898458,0.419457735,0.487506646,0.457203615,0.434243176,0.444995864,0.462365591,0.457402812,0.450785773,0.459057072,0.406947891,0.383788254,0.451520367,0.460699943,0.333333333,0.330851944,0.372208437,0.400330852,0.444995864,0.418527709,0.561532192,0.556642217,0.497147514,0.494702527,0.428687857,0.486552567,0.471067645
0.451149425,0.427423982,0.420512821,0.450712251,0.435327635,0.415949512,0.402180149,0.412507172,0.43545611,0.445209409,0.333907057,0.333333333,0.385185185,0.378917379,0.402849003,0.411396011,0.500265816,0.48856991,0.461988304,0.518341308,0.41573631,0.497607656,0.473152579,0.430934656,0.47229115,0.463192721,0.465674111,0.439205955,0.428453267,0.41191067,0.391232424,0.429718876,0.444061962,0.368072787,0.331679074,0.406947891,0.364764268,0.386269644,0.396195203,0.520782396,0.538712307,0.489812551,0.513447433,0.418907906,0.461287694,0.479217604
0.449425287,0.432013769,0.430769231,0.464957265,0.437606837,0.450946644,0.419965577,0.411933448,0.410786001,0.419965577,0.33448078,0.333333333,0.384615385,0.431339032,0.432478632,0.427350428,0.524189261,0.544391281,0.461988304,0.50132908,0.428495481,0.4784689,0.472620946,0.464846981,0.41025641,0.460711332,0.427626137,0.391232424,0.436724566,0.398676593,0.416873449,0.473895583,0.452094091,0.333333333,0.333333333,0.424317618,0.372208437,0.41108354,0.445822995,0.49796251,0.567237164,0.481662592,0.50611247,0.417277914,0.474327628,0.488182559
0.450574713,0.456110155,0.437606838,0.435897436,0.482621082,0.40390132,0.404475043,0.417096959,0.449799197,0.44693058,0.333333333,0.333333333,0.424501425,0.402849003,0.40968661,0.425071225,0.551302498,0.532163742,0.476342371,0.507177034,0.423710792,0.483785221,0.45082403,0.449958643,0.454094293,0.490488006,0.475599669,0.397022332,0.444168735,0.421009098,0.40942928,0.468158348,0.440619621,0.334160463,0.332506203,0.418527709,0.405293631,0.421836228,0.399503722,0.571312144,0.522412388,0.502852486,0.525672372,0.429502852,0.479217604,0.493072535
0.468390805,0.444635686,0.437606838,0.441025641,0.452421653,0.423407917,0.426276535,0.425702811,0.467010901,0.468732071,0.333907057,0.413654619,0.417094017,0.421652422,0.418803419,0.402279202,0.494417863,0.54279638,0.458798511,0.532163743,0.449229134,0.467836257,0.455608719,0.440860215,0.441687345,0.450785773,0.480562448,0.449958643,0.445822994,0.421836228,0.392059553,0.430292599,0.448078027,0.333333333,0.333333333,0.383788254,0.399503722,0.449131514,0.436724566,0.556642217,0.577832111,0.488997555,0.482477588,0.452322739,0.495517522,0.48410758
0.434482759,0.442914515,0.429059829,0.431908832,0.444444445,0.437751004,0.417670683,0.414228342,0.493975904,0.449225474,0.332185886,0.33161216,0.421652422,0.361823362,0.422222222,0.41025641,0.530568846,0.551834131,0.465709729,0.50132908,0.439659755,0.499202552,0.467836257,0.460711332,0.455748553,0.477253929,0.454921423,0.483043838,0.424317618,0.400330852,0.404466502,0.442914515,0.443488239,0.339123242,0.333333333,0.40612076,0.40860215,0.455748553,0.419354839,0.486552567,0.553382233,0.479217604,0.516707417,0.438467808,0.503667482,0.493887531