e1cond,e9cond,e1acc,e9acc
e1nomem,e9nomem,0.695859873,0.724938875
e1nomem,e9nomem,0.709394904,0.729828851
e1nomem,e9nomem,0.705414013,0.717603912
e1nomem,e9nomem,0.707802548,0.723716381
e1nomem,e9nomem,0.689490446,0.710268948
e1nomem,e9nomem,0.73566879,0.722493888
e1nomem,e9nomem,0.728503185,0.726161369
e1nomem,e9nomem,0.699840764,0.734718826
e1nomem,e9nomem,0.728503185,0.695599022
e1nomem,e9nomem,0.714968153,0.713936431
e1nosearch,e9nosearch,0.697767145,0.699266503
e1nosearch,e9nosearch,0.692982456,0.691931541
e1nosearch,e9nosearch,0.699362042,0.672371638
e1nosearch,e9nosearch,0.696969697,0.701711491
e1nosearch,e9nosearch,0.692982456,0.693154035
e1nosearch,e9nosearch,0.677830941,0.683374084
e1nosearch,e9nosearch,0.689792664,0.689486553
e1nosearch,e9nosearch,0.692982456,0.688264058
e1nosearch,e9nosearch,0.68261563,0.66992665
e1nosearch,e9nosearch,0.699362042,0.680929096
e1norate,e9norate,0.683413078,0.703658537
e1norate,e9norate,0.670653907,0.602439024
e1norate,e9norate,0.680223285,0.696341463
e1norate,e9norate,0.688995215,0.630487805
e1norate,e9norate,0.689792664,0.653658536
e1norate,e9norate,0.70015949,0.607317074
e1norate,e9norate,0.653907496,0.636585366
e1norate,e9norate,0.666666667,0.692682927
e1norate,e9norate,0.661881978,0.693902439
e1norate,e9norate,0.656299841,0.642682927