e1-nomem,e1-nosearch,e1-norate,e9-nomem,e9-nosearch,e9-norate
0.695859873,0.697767145,0.683413078,0.724938875,0.699266503,0.703658537
0.709394904,0.692982456,0.670653907,0.729828851,0.691931541,0.602439024
0.705414013,0.699362042,0.680223285,0.717603912,0.672371638,0.696341463
0.707802548,0.696969697,0.688995215,0.723716381,0.701711491,0.630487805
0.689490446,0.692982456,0.689792664,0.710268948,0.693154035,0.653658536
0.73566879,0.677830941,0.70015949,0.722493888,0.683374084,0.607317074
0.728503185,0.689792664,0.653907496,0.726161369,0.689486553,0.636585366
0.699840764,0.692982456,0.666666667,0.734718826,0.688264058,0.692682927
0.728503185,0.68261563,0.661881978,0.695599022,0.66992665,0.693902439
0.714968153,0.699362042,0.656299841,0.713936431,0.680929096,0.642682927